as	  dauchchea	  pen
evening	  lngeach	  tonaelng
condition	  lokkhakhand	  saphabkan
feed	  mteptrmean	  ahan
tool	  ubakar	  kheuongmu
total	  chamnuon saroub	  choanuanthangmod
basic	  moulodthan	  khanphunthan
smell	  klen	  kan mi kinhom
valley	  chrolongophnom	  homphu
nor	  ka minmen chea	  ru
double	  pir dng	  song
seat	  kawei	  bonnang
continue	  bant	  subto
block	  blok	  tan
chart	  tarang	  tatalang
hat	  muok	  lik
sell	  lk	  khai
success	  pheap chokchy	  phonsoaled
company	  kromhoun	  bolisad
subtract	  dk	  kan haklob
event	  prutte kar	  kolanithi
particular	  pisesa	  odnysapho
deal	  kechch promoprieng	  deal
swim	  heltuk	  neuothiheuok
term	  rypel	  nailainya
opposite	  phtoy	  kongkankham
wife	  braponth	  phanlanyakhong
shoe	  sbekcheung	  nam
shoulder	  sma	  ba
spread	  kar rik realdal	  kanaephkachai
arrange	  riebcham	  chad
camp	  chomrom	  khai
invent	  bradit	  daipan
cotton	  kabbasa	  fai
born	  kaet	  koed
determine	  kamnt	  kankoanod
quart	  quart	  khong
nine	  brabuon	  kao
truck	  lan	  lod
noise	  saam leng romkhan	  singlobkuan
level	  kamrit	  ladab
chance	  aokasa	  ookad
gather	  bramoul phtom	  keb
shop	  hang	  bolikanphan
stretch	  kamnat	  nyav
throw	  baoh	  thim
shine	  chengchang	  khong
property	  tropy sa mb tde	  sabsombad
column	  chuorochhr	  than
molecule	  maulekoul	  kan molecule
select	  chreusa	  leuok
wrong	  khosa	  phidphad
gray	  pnrbrapheh	  sikhitheoa
repeat	  mtong tiet	  hed le umkhun
require	  tamrouv aoy mean	  hiakhonghaimi
broad	  toulomtouleay	  yangkvangkhuaang
prepare	  riebcham	  kankakiam
salt	  ambel	  keu
nose	  chramouh	  dang
plural	  phovochn	  siang
anger	  kamhoeng	  khuaamchaihai
claim	  peaky b ntoeng	  kanhongkho
