as	  pen	  Pen
cotton	  fai	  pha fay
born	  koed	  keid
determine	  kankoanod	  kahnd
quart	  khong	  kh wxr
nine	  kao	  kea
truck	  lod	  rth brrthuk
noise	  singlobkuan	  seiyng rbkwn
level	  ladab	  radab
chance	  ookad	  xokas
gather	  keb	  rwbrwm
shop	  bolikanphan	  ran khay khxng
stretch	  nyav	  yud
throw	  thim	  yon
shine	  khong	  ngea ngam
property	  sabsombad	  sthan thi hi brikar
column	  than	  khxlamn
molecule	  kan molecule	  molekul
select	  leuok	  leuxk
wrong	  phidphad	  phid
gray	  sikhitheoa	  si thea
repeat	  hed le umkhun	  tha sa
require	  hiakhonghaimi	  txngkar
broad	  yangkvangkhuaang	  kwang
prepare	  kankakiam	  karte ri ym khwam phrxm
salt	  keu	  kelux
nose	  dang	  cmuk
plural	  siang	  phhuphcn
anger	  khuaamchaihai	  khwam korth
claim	  kanhongkho	  xang
